ORIGEN;DESTINO;DISTANCIA;TIEMPO
Piraeus;Faliro;1.94;3
Faliro;Moschato;1.50;3
Moschato;Kallithea;1.65;2
Kallithea;Tavros;0.65;1
Tavros;Petralona;0.81;2
Petralona;Thissio;1.55;2
Thissio;Monastiraki-1;0.46;1
Monastiraki-1;Omonia-1;0.93;3
Omonia-1;Victoria;1.00;1
Victoria;Attiki-1;1.96;2
Attiki-1;Aghios Nikolaos;0.93;1
Aghios Nikolaos;Kato Patissia;0.55;1
Kato Patissia;Aghios Eleftherios;1.01;2
Aghios Eleftherios;Ano Patissia;0.55;1
Ano Patissia;Perissos;1.28;2
Perissos;Pefkakia;0.69;1
Pefkakia;Nea Ionia;0.70;2
Nea Ionia;Iraklio;1.29;2
Iraklio;Irini;1.53;2
Irini;Neratziotissa;1.04;2
Neratziotissa;Maroussi;1.67;3
Maroussi;KAT;1.16;2
KAT;Kifissia;1.05;3
Aghios Dimitrios · Alexandros Panagoulis;Dafni;1.02;1
Dafni;Aghios Ioannis;0.86;2
Aghios Ioannis;Neos Kosmos;0.56;1
Neos Kosmos;Sygrou-Fix;1.16;1
Sygrou-Fix;Akropoli;0.56;1
Akropoli;Syntagma-2;0.86;1
Syntagma-2;Panepistimio;0.67;1
Panepistimio;Omonia-2;0.54;1
Omonia-2;Metaxourghio;0.72;1
Metaxourghio;Larissa Station;0.61;1
Larissa Station;Attiki-2;0.80;1
Attiki-2;Sepolia;0.88;2
Sepolia;Aghios Antonios;1.23;1
Egaleo;Eleonas;0.91;4
Eleonas;Kerameikos;2.11;2
Kerameikos;Monastiraki-3;1.31;2
Monastiraki-3;Syntagma-3;0.87;2
Syntagma-3;Evangelismos;1.04;1
Megaro Moussikis;Ambelokipi;0.91;1
Ambelokipi;Panormou;0.96;1
Panormou;Katehaki;1.09;3
Katehaki;Ethniki Amyna;1.07;1
Ethniki Amyna;Holargos;0.87;1
Holargos;Nomismatokopio;1.01;1
Nomismatokopio;Aghia Paraskevi;1.03;2
Aghia Paraskevi;Halandri; 0.93;2
Halandri;Doukissis Plakentias;1.15;3
Doukissis Plakentias;Pallini;4.14;4
Pallini;Paiania-Kantza;2.43;2
Paiania-Kantza;Koropi;8.31;5
Koropi;Airport;5.31;6
Monastiraki-1;Monastiraki-3;0;0
Omonia-1;Omonia-2;0;0
Attiki-1;Attiki-2;0;0
Syntagma-2;Syntagma-3;0;0
